 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4,aureme5
MNXR134274,1,0,0,0,0,0,0,0,1,0,0,0,0
MNXR135910,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR136040,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR138059,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR138060,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR138195,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR138201,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR138590,1,0,1,0,0,0,0,0,0,0,0,0,0
MNXR138674,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR138860,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR140043,1,1,0,0,1,1,1,1,1,0,0,0,0
MNXR140386,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR140928,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR142844,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR144933,1,0,1,1,0,0,0,0,0,1,1,1,1
MNXR144947,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR144981,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR144996,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR145050,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145076,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145080,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145089,1,1,0,0,0,0,0,1,0,0,0,0,0
MNXR145113,1,1,1,1,1,1,0,1,1,1,1,1,1
MNXR145114,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145117,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145135,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145141,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR145162,1,0,0,1,0,0,1,1,1,0,1,1,1
MNXR145194,1,1,1,1,0,1,1,1,1,1,1,1,1
MNXR145207,1,0,0,1,1,1,1,1,0,0,1,1,1
MNXR145221,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR145223,1,1,1,1,1,1,1,1,1,1,1,1,1
