MNXR_id,GPR_ref,GPR_au,GPR_cv,GPR_me,GPR_ms,GPR_pt,GPR_rm,GPR_rk,GPR_rc,GPR_rec,rxns_ref,rxns_au,rxns_cv,rxns_me,rxns_ms,rxns_pt,rxns_rm,rxns_rk,rxns_rc,rxns_rec
MNXR211575,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR210612,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR207509,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_22603,N/A,N/A,N/A,N/A
MNXR103365,5575781,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,srm:SRM_00630,r0388,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn01251_c
MNXR102443,N/A,N/A,5568289 or 5570148 or 5577381,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R_PE141abcpp,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR116046,N/A,5572378,N/A,N/A,N/A,5572378,N/A,N/A,N/A,N/A,N/A,MBCOA_DHLIPOAMIDE_RXN,N/A,N/A,N/A,MBCOA_DHLIPOAMIDE_RXN,N/A,N/A,N/A,N/A
MNXR162547,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R_RHACOAE140, RHACOAE140",N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR193744,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_22222,N/A,N/A,N/A,N/A
MNXR143824,N/A,N/A,N/A,N/A,N/A,N/A,5567637,N/A,5567637,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_11977,N/A,RXN_11977,N/A
MNXR193831,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_22337,N/A,N/A,N/A,N/A
MNXR99805,5575690 or AAEL012002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,G14T13g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR153888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR105947,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR187649,N/A,5564787,N/A,N/A,N/A,5564787,N/A,N/A,N/A,N/A,N/A,RXN_19554,N/A,N/A,N/A,RXN_19554,N/A,N/A,N/A,N/A
MNXR164781,N/A,5579114,N/A,N/A,N/A,5579114,N/A,N/A,N/A,N/A,N/A,RXN_20394,N/A,N/A,N/A,RXN_20394,N/A,N/A,N/A,N/A
MNXR102463,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PECDCHe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR209432,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110674831 or 110676201 or 5565972 or 5565973 or 5566037 or 5571709 or 5571710,110674831 or 110676201 or 5565972 or 5565973 or 5566037 or 5571709 or 5571710,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R13081,R13081,N/A
MNXR121897,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_7101,N/A,N/A,N/A,N/A
MNXR173211,N/A,N/A,N/A,23687932,N/A,N/A,N/A,N/A,N/A,bco:Bcell_0684,N/A,N/A,N/A,R01478__in,N/A,N/A,N/A,N/A,N/A,rxn15210_c
MNXR160392,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR163526,N/A,N/A,N/A,110676297 or 5564110 or 5574391 or 5576170,N/A,N/A,N/A,110676297 or 5576170,110676297 or 5576170,N/A,N/A,N/A,N/A,R11895__in,N/A,N/A,N/A,R11895,R11895,N/A
MNXR211028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR156421,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
