MNXR_id,GPR_ref,GPR_au,GPR_cv,GPR_me,GPR_ms,GPR_pt,GPR_rm,GPR_rk,GPR_rc,GPR_rec,rxns_ref,rxns_au,rxns_cv,rxns_me,rxns_ms,rxns_pt,rxns_rm,rxns_rk,rxns_rc,rxns_rec
MNXR112148,N/A,CBN77769.1,N/A,Esi_0068.0067 or Esi_0068.0069,N/A,CBN77769.1,CBJ27406.1 or CBJ27408.1,N/A,CBJ27406.1 or CBJ27408.1,cep:Cri9333_3477 or ncn:BZZ01_00985,N/A,RXNQT_4167,N/A,"R08628__chlo, R08628__cytop",N/A,RXNQT_4167,RXNQT_4167,N/A,RXNQT_4167,rxn14059_c
MNXR164310,N/A,CBJ27686.1 or CBJ48486.1 or CBN77027.1 or CBN79671.1,N/A,N/A,N/A,CBJ27686.1 or CBJ48486.1 or CBN77027.1 or CBN79671.1,N/A,N/A,N/A,N/A,N/A,RXN_19427,N/A,N/A,N/A,RXN_19427,N/A,N/A,N/A,N/A
MNXR153259,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mett:CIT01_09955 or pyw:PYWP30_00407 or tvo:TVG0972073,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn04051_c
MNXR117339,CBJ25821.1 or CBN77415.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN-12088,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR108148,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CBJ27570.1 or CBJ27572.1,CBJ27570.1 or CBJ27572.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R03401,12_OXOPHYTODIENOATE_REDUCTASE_RXN,N/A
MNXR146592,CBN76840.1,CBN76840.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,asd:AS9A_2778,RXN-8665,TRP23OR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn00478_c
MNXR190348,N/A,CBJ26396.1 or CBN74177.1,N/A,N/A,N/A,CBJ26396.1 or CBN74177.1,N/A,N/A,N/A,N/A,N/A,RXN_18373,N/A,N/A,N/A,RXN_18373,N/A,N/A,N/A,N/A
MNXR149555,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rhz:RHPLAN_03320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn14136_c
MNXR152720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CBN78806.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_16756,N/A
MNXR95265,N/A,CBN75996.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"ACHMSSELCYSL, ACHMSSELCYSLh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR104006,N/A,CBN77027.1 or CBN77837.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RETINOLACACT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR100715,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR164152,N/A,CBJ26943.1,N/A,N/A,N/A,CBJ26943.1,N/A,N/A,N/A,N/A,N/A,RXN_19011,N/A,N/A,N/A,RXN_19011,N/A,N/A,N/A,N/A
MNXR102447,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR123366,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CBJ28085.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R12391, RXN0_7013",N/A
MNXR188401,CBN77609.1,CBJ32068.1 or CBN77609.1,N/A,N/A,N/A,CBJ32068.1 or CBN77609.1,CBN77609.1,CBN77609.1,CBN77609.1,N/A,2.7.1.133-RXN,"2.7.1.133_RXN, AMI3TP",N/A,N/A,N/A,2.7.1.133_RXN,2.7.1.133_RXN,R03429,2.7.1.133_RXN,N/A
MNXR138027,N/A,CBN78066.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AGPATCOA1819Z18111Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR96810,N/A,N/A,CBN74002.1 or spontaneous,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R_CO2t, R_CO2tex, R_CO2tpp",N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR117578,N/A,CBJ27631.1 or CBJ31311.1 or CBJ49047.1,N/A,N/A,N/A,CBJ27631.1 or CBJ31311.1 or CBJ49047.1,N/A,N/A,CBJ27631.1,N/A,N/A,RXN_12466,N/A,N/A,N/A,RXN_12466,N/A,N/A,RXN_12466,N/A
MNXR143411,N/A,CBJ30866.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,THFGLUH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR123637,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN3O_328,N/A,N/A,N/A,N/A
MNXR111633,CBJ48350.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN-4305,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR145476,N/A,CBJ31788.1 or CBJ48390.1 or CBN75443.1,N/A,CBN75443.1,N/A,CBJ31788.1 or CBJ48390.1 or CBN75443.1,N/A,CBN75443.1,CBN75443.1,cap:CLDAP_30940,N/A,AROMATIC_L_AMINO_ACID_DECARBOXYLASE_RXN,N/A,R00685__cytop,N/A,AROMATIC_L_AMINO_ACID_DECARBOXYLASE_RXN,N/A,R00685,AROMATIC_L_AMINO_ACID_DECARBOXYLASE_RXN,rxn32690_c
MNXR114867,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R11575__cytop,N/A,N/A,N/A,N/A,R11575,N/A
MNXR192196,N/A,N/A,N/A,CBJ30364.1,N/A,N/A,N/A,N/A,N/A,cch:Cag_1059,N/A,N/A,N/A,R06272__cytop,N/A,N/A,N/A,N/A,N/A,rxn28310_c
MNXR104447,N/A,CBJ27879.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SMO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
