Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,MetaNetX
dihydrobiopterin,Dihydrobiopterin,HMDB0000038,119055,C00268,C[C@H](O)[C@H](O)C1=NC2=C(NC1)NC(N)=NC2=O,1,MNXM1092880
gamma-tocopherol/beta-tocopherol,,,,,,0,MNXM733034;MNXM733036;MNXM4488
gulonic acid,Gulonic acid,HMDB0003290,152304,C00800,OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)C(O)=O,1,MNXM1927
methylphosphate,Methylphosphate,HMDB0061711,13130,,COP(O)(O)=O,1,MNXM128012
pheophorbide A,Pheophorbide a,METPA1634,,C18021,,1,MNXM1108548;MNXM1364548;MNXM1364549;MNXM1511827;MNXM741384
phosphate,Phosphate,HMDB0001429,1004,C00009,OP(O)(O)=O,1,MNXM9
threonate,Threonic acid,HMDB0000943,5460407,C01620,OC[C@H](O)[C@@H](O)C(O)=O,1,MNXM731338
trigonelline (N'-methylnicotinate),,,,,,0,MNXM128012
1-aminocyclopropanecarboxylic acid,1-Aminocyclopropanecarboxylic acid,HMDB0036458,535,C01234,NC1(CC1)C(O)=O,1,MNXM1128
1-palmitoyl-GPA (16:0),,,,,,0,MNXM732965
"1,2-dioleoyl-GPC (18:1/18:1)",,,,,,0,MNXM1364449
1-arachidonoyl-GPA (20:4),,,,,,0,MNXM1103760
1-arachidonoyl-GPC* (20:4),,,,,,0,MNXM167078
1-arachidonoyl-GPE* (20:4),,,,,,0,MNXM32717
1-arachidonoyl-GPI* (20:4),,,,,,0,MNXM1105893
3-hydroxybutyrate (BHBA),,,,,,0,MNXM1104965
1-arachidonylglycerol (20:4),,,,,,0,MNXM32718
1-dihomo-linolenylglycerol (20:3),,,,,,0,MNXM1561681
1-eicosapentaenoylglycerol (20:5),,,,,,0,N/A
1-linolenoylglycerol (18:3),,,,,,0,N/A
1-linoleoyl-GPI* (18:2),,,,,,0,MNXM75742
1-linoleoylglycerol (18:2),,,,,,0,MNXM62046;MNXM146917
1-myristoylglycerol (14:0),,,,,,0,MNXM62035
1-oleoyl-3-linoleoyl-glycerol (18:1/18:2),,,,,,0,N/A
1-oleoyl-GPG (18:1),,,,,,0,MNXM739930
1-oleoyl-GPI (18:1),,,,,,0,MNXM680605
1-oleoylglycerol (18:1),,,,,,0,MNXM1373111
1-palmitoleoyl-GPA (16:1),,,,,,0,N/A
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),,,,,,0,MNXM13925
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4),"PE(16:0/20:4(5Z,8Z,11Z,14Z))",HMDB0008937,9546800,C00350,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,1,MNXM115
